time,ueid,TDDLTE_L1_measurement_Serving_Cell_Measurement_RSRP,TDDLTE_L1_measurement_Serving_Cell_Measurement_SINR
39640984,1,-77,9
39641203,1,-77,10
39641468,1,-77,10
39641578,1,-77,10
39641750,1,-77,10
39641984,1,-77,10
39642218,1,-77,10
39642343,1,-77,10
39642578,1,-77,10
39642750,1,-76,8
39642984,1,-77,8
39643140,1,-77,9
39643468,1,-77,8
39643578,1,-77,7
39643859,1,-76,8
39643984,1,-76,8
39644203,1,-77,8
39644343,1,-76,9
39644578,1,-76,9
39644750,1,-76,8
39644984,1,-76,8
39645218,1,-76,7
39645468,1,-76,7
39645578,1,-76,7
39645750,1,-76,8
39645984,1,-77,7
39646218,1,-77,7
39646343,1,-77,7
39646578,1,-76,6
39646750,1,-76,6
39646984,1,-77,8
39647218,1,-76,8
39647468,1,-76,8
39647546,1,-76,8
39647750,1,-76,7
39647984,1,-76,8
39648218,1,-77,7
39648343,1,-77,8
39648578,1,-77,7
39648750,1,-77,8
39648984,1,-77,8
39649218,1,-77,8
39649468,1,-77,8
39649578,1,-77,8
39649750,1,-77,7
39649984,1,-77,7
39650203,1,-77,7
39650343,1,-78,7
39650578,1,-80,7
39650750,1,-78,6
39650984,1,-78,7
39651218,1,-77,7
39651468,1,-77,7
39651578,1,-78,7
39651750,1,-78,7
39651984,1,-78,7
39652203,1,-78,7
39652343,1,-78,7
39652578,1,-78,7
39652750,1,-78,7
39652984,1,-78,7
39653218,1,-78,7
39653468,1,-78,7
39653578,1,-78,7
39653859,1,-77,7
39653984,1,-78,7
39654218,1,-78,7
39654343,1,-78,7
39654578,1,-78,7
39654750,1,-78,7
39654984,1,-78,7
39655218,1,-78,7
39655468,1,-77,7
39655578,1,-78,7
39655750,1,-77,7
39655984,1,-78,7
39656218,1,-78,7
39656343,1,-78,6
39656578,1,-78,7
39656750,1,-77,7
39656984,1,-77,7
39657218,1,-77,7
39657468,1,-78,6
39657578,1,-78,6
39657750,1,-78,7
39657984,1,-78,6
39658218,1,-78,8
39658343,1,-77,8
39658578,1,-77,8
39658734,1,-77,8
39658984,1,-77,8
39659218,1,-77,8
39659468,1,-77,8
39659578,1,-77,8
39659750,1,-77,8
39659984,1,-77,8
39660218,1,-77,8
39660343,1,-77,8
39660578,1,-77,8
39660750,1,-77,8
39660984,1,-77,8
39661218,1,-77,9
39661578,1,-77,8
39661750,1,-76,9
39661984,1,-77,8
39662218,1,-77,8
39662343,1,-77,9
39662578,1,-77,8
39662750,1,-76,8
39662984,1,-77,9
39663218,1,-76,8
39663343,1,-77,8
39663578,1,-77,8
39663828,1,-77,8
39663937,1,-76,8
39664218,1,-76,8
39664468,1,-76,8
39664578,1,-76,8
39664750,1,-77,8
39664984,1,-77,8
39665218,1,-77,8
39665468,1,-77,8
39665578,1,-77,8
39665750,1,-77,8
39665984,1,-77,9
39666218,1,-77,8
39666468,1,-77,9
39666578,1,-77,8
39666750,1,-77,8
39666984,1,-77,8
39667218,1,-77,8
39667468,1,-77,8
39667578,1,-78,8
39667750,1,-78,8
39667984,1,-78,8
39668218,1,-77,8
39668343,1,-77,8
39668578,1,-77,8
39668750,1,-77,8
39668984,1,-77,8
39669218,1,-77,8
39669468,1,-77,8
39669578,1,-77,8
39669750,1,-77,8
39669984,1,-77,8
39670218,1,-76,8
39670359,1,-76,8
39670578,1,-76,8
39670750,1,-77,8
39670984,1,-77,8
39671218,1,-76,8
39671468,1,-76,9
39671578,1,-76,8
39671750,1,-76,8
39671984,1,-76,9
39672218,1,-76,9
39672343,1,-76,9
39672578,1,-76,10
39672750,1,-76,10
39672984,1,-76,8
39673218,1,-77,10
39673468,1,-77,8
39673578,1,-77,7
39673750,1,-76,8
39673984,1,-76,9
