Time,PCTime,UEid,RSRP,SINR
16:8:33.719,58113719,1,-85,
16:8:33.879,58113879,1,-86,16
16:8:34.039,58114039,1,-86,16
16:8:34.219,58114219,1,-84,17
16:8:34.399,58114399,1,-86,16
16:8:34.719,58114719,1,-84,17
16:8:34.799,58114799,1,-83,17
16:8:35.078,58115078,1,-85,17
16:8:35.219,58115219,1,-84,17
16:8:35.399,58115399,1,-86,16
16:8:35.723,58115723,1,-85,17
16:8:35.879,58115879,1,-86,15
16:8:36.039,58116039,1,-85,15
16:8:36.218,58116218,1,-83,16
16:8:36.399,58116399,1,-83,18
16:8:36.719,58116719,1,-86,14
16:8:36.879,58116879,1,-84,15
16:8:37.108,58117108,1,-86,15
16:8:37.219,58117219,1,-86,15
16:8:37.399,58117399,1,-84,16
16:8:37.719,58117719,1,-84,15
16:8:37.879,58117879,1,-84,19
16:8:38.108,58118108,1,-84,15
16:8:38.218,58118218,1,-86,14
16:8:38.399,58118399,1,-85,16
16:8:38.719,58118719,1,-87,17
16:8:38.879,58118879,1,-86,16
16:8:39.039,58119039,1,-85,16
16:8:39.218,58119218,1,-85,15
16:8:39.399,58119399,1,-86,15
16:8:39.719,58119719,1,-87,15
16:8:39.879,58119879,1,-88,13
16:8:40.039,58120039,1,-86,16
16:8:40.218,58120218,1,-87,16
16:8:40.399,58120399,1,-88,15
16:8:40.719,58120719,1,-87,15
16:8:40.880,58120880,1,-87,15
16:8:41.040,58121040,1,-87,16
16:8:41.219,58121219,1,-86,16
16:8:41.400,58121400,1,-87,15
16:8:41.720,58121720,1,-87,15
16:8:41.880,58121880,1,-86,15
16:8:42.040,58122040,1,-87,15
16:8:42.219,58122219,1,-88,15
16:8:42.400,58122400,1,-87,16
16:8:42.720,58122720,1,-87,15
16:8:42.880,58122880,1,-87,15
16:8:43.040,58123040,1,-86,15
16:8:43.219,58123219,1,-86,16
16:8:43.400,58123400,1,-87,14
16:8:43.721,58123721,1,-86,16
16:8:43.880,58123880,1,-87,14
16:8:44.040,58124040,1,-87,16
16:8:44.220,58124220,1,-88,15
16:8:44.400,58124400,1,-86,16
16:8:44.720,58124720,1,-87,16
16:8:44.880,58124880,1,-86,15
16:8:45.040,58125040,1,-87,15
16:8:45.219,58125219,1,-86,15
16:8:45.400,58125400,1,-87,15
16:8:45.720,58125720,1,-86,16
16:8:45.880,58125880,1,-85,15
16:8:46.040,58126040,1,-85,15
16:8:46.220,58126220,1,-85,15
16:8:46.560,58126560,1,-86,15
16:8:46.720,58126720,1,-86,15
16:8:46.880,58126880,1,-86,15
16:8:47.041,58127041,1,-86,15
16:8:47.219,58127219,1,-85,16
16:8:47.400,58127400,1,-85,15
16:8:47.720,58127720,1,-87,16
16:8:47.880,58127880,1,-86,16
16:8:48.040,58128040,1,-87,16
16:8:48.220,58128220,1,-87,15
16:8:48.400,58128400,1,-86,16
16:8:48.720,58128720,1,-86,15
16:8:48.880,58128880,1,-86,16
16:8:49.040,58129040,1,-86,15
16:8:49.219,58129219,1,-85,16
16:8:49.399,58129399,1,-84,15
16:8:49.720,58129720,1,-85,16
16:8:49.840,58129840,1,-86,15
16:8:50.000,58130000,1,-87,15
16:8:50.219,58130219,1,-86,14
16:8:50.520,58130520,1,-86,15
16:8:50.680,58130680,1,-86,14
16:8:50.840,58130840,1,-86,15
16:8:51.109,58131109,1,-87,15
16:8:51.219,58131219,1,-87,14
16:8:51.480,58131480,1,-87,15
16:8:51.679,58131679,1,-86,15
16:8:51.840,58131840,1,-87,15
16:8:52.000,58132000,1,-86,15
16:8:52.219,58132219,1,-88,14
16:8:52.399,58132399,1,-86,15
16:8:52.720,58132720,1,-85,16
16:8:52.840,58132840,1,-89,14
16:8:53.080,58133080,1,-88,14
16:8:53.219,58133219,1,-88,14
16:8:53.640,58133640,1,-86,16
16:8:53.641,58133641,1,-88,15
16:8:53.880,58133880,1,-88,14
16:8:54.040,58134040,1,-87,15
16:8:54.220,58134220,1,-87,15
16:8:54.480,58134480,1,-84,15
16:8:54.800,58134800,1,-84,15
16:8:55.109,58135109,1,-87,15
16:8:55.220,58135220,1,-87,14
16:8:55.400,58135400,1,-87,16
16:8:55.679,58135679,1,-87,15
16:8:55.840,58135840,1,-85,15
16:8:56.110,58136110,1,-86,15
16:8:56.220,58136220,1,-84,15
16:8:56.400,58136400,1,-85,15
16:8:56.680,58136680,1,-83,15
16:8:56.879,58136879,1,-86,14
16:8:57.000,58137000,1,-86,15
16:8:57.220,58137220,1,-85,16
16:8:57.480,58137480,1,-86,16
16:8:57.640,58137640,1,-88,15
16:8:57.800,58137800,1,-88,13
16:8:58.109,58138109,1,-88,14
16:8:58.219,58138219,1,-87,14
16:8:58.400,58138400,1,-89,13
16:8:58.720,58138720,1,-89,14
16:8:58.841,58138841,1,-85,16
16:8:59.110,58139110,1,-84,15
16:8:59.220,58139220,1,-83,17
16:8:59.401,58139401,1,-82,15
16:8:59.681,58139681,1,-83,15
16:9:0.001,58140001,1,-82,13
16:9:0.220,58140220,1,-82,17
16:9:0.482,58140482,1,-83,20
16:9:0.600,58140600,1,-83,15
16:9:0.801,58140801,1,-84,15
16:9:1.081,58141081,1,-85,14
16:9:1.221,58141221,1,-85,15
16:9:1.481,58141481,1,-86,14
16:9:1.640,58141640,1,-88,14
16:9:1.881,58141881,1,-87,18
16:9:2.001,58142001,1,-87,14
16:9:2.220,58142220,1,-86,15
16:9:2.400,58142400,1,-85,15
16:9:2.721,58142721,1,-85,16
16:9:2.841,58142841,1,-85,16
16:9:3.000,58143000,1,-85,14
16:9:3.220,58143220,1,-85,20
16:9:3.400,58143400,1,-87,14
16:9:3.841,58143841,1,-86,14
16:9:4.041,58144041,1,-87,13
16:9:4.202,58144202,1,-88,18
16:9:4.480,58144480,1,-87,17
16:9:4.720,58144720,1,-88,18
16:9:4.880,58144880,1,-88,15
16:9:5.000,58145000,1,-85,16
16:9:5.201,58145201,1,-91,12
16:9:5.400,58145400,1,-89,13
16:9:5.720,58145720,1,-88,16
16:9:5.880,58145880,1,-90,13
16:9:6.040,58146040,1,-89,17
16:9:6.220,58146220,1,-89,13
16:9:6.374,58146374,1,-89,16
16:9:6.800,58146800,1,-90,13
16:9:6.801,58146801,1,-89,15
16:9:7.110,58147110,1,-90,13
16:9:7.220,58147220,1,-89,15
16:9:7.400,58147400,1,-87,15
16:9:7.720,58147720,1,-88,15
16:9:7.840,58147840,1,-88,14
16:9:8.080,58148080,1,-89,14
16:9:8.200,58148200,1,-89,15
16:9:8.481,58148481,1,-87,16
16:9:8.769,58148769,1,-87,16
16:9:8.920,58148920,1,-87,15
16:9:9.080,58149080,1,-87,14
16:9:9.220,58149220,1,-87,15
16:9:9.480,58149480,1,-88,15
16:9:9.601,58149601,1,-87,15
16:9:9.959,58149959,1,-86,15
16:9:10.110,58150110,1,-85,15
16:9:10.220,58150220,1,-85,16
16:9:10.400,58150400,1,-86,14
16:9:10.720,58150720,1,-85,15
16:9:10.841,58150841,1,-84,16
16:9:11.000,58151000,1,-84,15
16:9:11.220,58151220,1,-84,18
16:9:11.400,58151400,1,-87,16
16:9:11.841,58151841,1,-84,17
16:9:12.081,58152081,1,-86,16
16:9:12.220,58152220,1,-87,15
16:9:12.520,58152520,1,-89,15
16:9:12.680,58152680,1,-94,12
16:9:12.841,58152841,1,-90,14
16:9:13.001,58153001,1,-89,12
16:9:13.220,58153220,1,-86,15
16:9:13.520,58153520,1,-84,15
16:9:13.720,58153720,1,-83,14
16:9:13.841,58153841,1,-84,15
16:9:14.000,58154000,1,-84,15
16:9:14.220,58154220,1,-84,15
16:9:14.400,58154400,1,-85,15
16:9:14.720,58154720,1,-84,16
16:9:14.880,58154880,1,-84,16
16:9:15.040,58155040,1,-84,13
16:9:15.220,58155220,1,-83,15
16:9:15.399,58155399,1,-84,14
16:9:15.720,58155720,1,-84,16
16:9:15.881,58155881,1,-85,15
16:9:16.041,58156041,1,-84,13
16:9:16.221,58156221,1,-85,14
16:9:16.521,58156521,1,-86,15
16:9:16.836,58156836,1,-87,16
16:9:17.111,58157111,1,-89,15
16:9:17.221,58157221,1,-89,14
16:9:17.401,58157401,1,-90,14
16:9:17.721,58157721,1,-87,16
16:9:17.842,58157842,1,-88,16
16:9:18.001,58158001,1,-87,14
16:9:18.221,58158221,1,-87,13
16:9:18.401,58158401,1,-87,14
16:9:18.722,58158722,1,-84,15
16:9:18.882,58158882,1,-86,14
16:9:19.042,58159042,1,-87,13
16:9:19.221,58159221,1,-88,15
16:9:19.401,58159401,1,-86,16
16:9:19.682,58159682,1,-85,16
16:9:19.842,58159842,1,-86,15
16:9:20.112,58160112,1,-85,16
16:9:20.221,58160221,1,-86,15
16:9:20.521,58160521,1,-88,15
16:9:20.681,58160681,1,-87,14
16:9:20.842,58160842,1,-87,14
16:9:21.001,58161001,1,-88,14
16:9:21.221,58161221,1,-89,14
16:9:21.401,58161401,1,-90,14
16:9:21.721,58161721,1,-90,14
16:9:21.881,58161881,1,-91,13
16:9:22.041,58162041,1,-89,13
16:9:22.221,58162221,1,-88,14
16:9:22.521,58162521,1,-87,14
16:9:22.881,58162881,1,-86,15
16:9:23.002,58163002,1,-87,15
16:9:23.221,58163221,1,-87,15
16:9:23.401,58163401,1,-87,14
16:9:23.721,58163721,1,-88,14
16:9:23.882,58163882,1,-87,14
16:9:24.041,58164041,1,-87,15
16:9:24.221,58164221,1,-86,15
16:9:24.401,58164401,1,-86,15
16:9:24.722,58164722,1,-88,15
16:9:24.881,58164881,1,-87,15
16:9:25.112,58165112,1,-87,14
16:9:25.221,58165221,1,-86,15
16:9:25.401,58165401,1,-87,14
16:9:25.721,58165721,1,-87,15
16:9:25.881,58165881,1,-86,15
16:9:26.041,58166041,1,-87,14
16:9:26.221,58166221,1,-87,15
16:9:26.401,58166401,1,-86,15
16:9:26.721,58166721,1,-86,14
16:9:26.881,58166881,1,-85,15
16:9:27.041,58167041,1,-85,15
16:9:27.221,58167221,1,-88,15
16:9:27.401,58167401,1,-86,15
16:9:27.721,58167721,1,-87,15
16:9:27.881,58167881,1,-87,14
16:9:28.041,58168041,1,-85,15
16:9:28.221,58168221,1,-86,15
16:9:28.401,58168401,1,-86,15
16:9:28.721,58168721,1,-86,18
16:9:28.881,58168881,1,-87,14
16:9:29.041,58169041,1,-86,15
16:9:29.221,58169221,1,-87,14
16:9:29.401,58169401,1,-87,15
16:9:29.721,58169721,1,-87,15
16:9:30.041,58170041,1,-87,13
16:9:30.042,58170042,1,-87,17
16:9:30.221,58170221,1,-86,14
16:9:30.401,58170401,1,-86,14
16:9:30.721,58170721,1,-87,14
16:9:30.881,58170881,1,-87,14
16:9:31.040,58171040,1,-86,14
16:9:31.221,58171221,1,-87,15
