Time,PCTime,UEid,Serving Cell RSRP(dBm)
11:0:18.578,39618578,1,-77
11:0:18.828,39618828,1,-76
11:0:18.984,39618984,1,-75
11:0:19.203,39619203,1,-75
11:0:19.468,39619468,1,-74
11:0:19.578,39619578,1,-74
11:0:19.734,39619734,1,-77
11:0:19.984,39619984,1,-78
11:0:20.203,39620203,1,-79
11:0:20.343,39620343,1,-78
11:0:20.578,39620578,1,-78
11:0:20.750,39620750,1,-77
11:0:20.984,39620984,1,-78
11:0:21.203,39621203,1,-80
11:0:21.343,39621343,1,-80
11:0:21.578,39621578,1,-79
11:0:21.859,39621859,1,-79
11:0:21.984,39621984,1,-78
11:0:22.203,39622203,1,-78
11:0:22.343,39622343,1,-78
11:0:22.578,39622578,1,-79
11:0:22.734,39622734,1,-80
11:0:22.984,39622984,1,-79
11:0:23.203,39623203,1,-79
11:0:23.468,39623468,1,-79
11:0:23.578,39623578,1,-78
11:0:23.828,39623828,1,-78
11:0:23.937,39623937,1,-78
11:0:24.203,39624203,1,-76
11:0:24.343,39624343,1,-76
11:0:24.578,39624578,1,-76
11:0:24.734,39624734,1,-77
11:0:24.984,39624984,1,-77
11:0:25.203,39625203,1,-77
11:0:25.468,39625468,1,-77
11:0:25.578,39625578,1,-77
11:0:25.828,39625828,1,-78
11:0:25.984,39625984,1,-77
11:0:26.203,39626203,1,-75
11:0:26.343,39626343,1,-75
11:0:26.578,39626578,1,-76
11:0:26.750,39626750,1,-76
11:0:26.984,39626984,1,-78
11:0:27.203,39627203,1,-78
11:0:27.468,39627468,1,-76
11:0:27.578,39627578,1,-77
11:0:27.734,39627734,1,-78
11:0:27.937,39627937,1,-77
11:0:28.218,39628218,1,-77
11:0:28.343,39628343,1,-77
11:0:28.578,39628578,1,-77
11:0:28.828,39628828,1,-77
11:0:29.109,39629109,1,-78
11:0:29.218,39629218,1,-78
11:0:29.421,39629421,1,-77
11:0:29.546,39629546,1,-78
11:0:29.750,39629750,1,-77
11:0:29.984,39629984,1,-78
11:0:30.203,39630203,1,-77
11:0:30.343,39630343,1,-77
11:0:30.578,39630578,1,-78
11:0:30.750,39630750,1,-77
11:0:31.109,39631109,1,-78
11:0:31.203,39631203,1,-78
11:0:31.343,39631343,1,-78
11:0:31.578,39631578,1,-77
11:0:31.859,39631859,1,-77
11:0:31.984,39631984,1,-77
11:0:32.203,39632203,1,-77
11:0:32.343,39632343,1,-77
11:0:32.578,39632578,1,-77
11:0:32.750,39632750,1,-77
11:0:32.984,39632984,1,-77
11:0:33.218,39633218,1,-77
11:0:33.468,39633468,1,-78
11:0:33.578,39633578,1,-78
11:0:33.859,39633859,1,-77
11:0:33.984,39633984,1,-77
11:0:34.218,39634218,1,-77
11:0:34.468,39634468,1,-77
11:0:34.578,39634578,1,-77
11:0:34.750,39634750,1,-77
11:0:35.125,39635125,1,-78
11:0:35.203,39635203,1,-77
11:0:35.468,39635468,1,-77
11:0:35.578,39635578,1,-78
11:0:35.750,39635750,1,-78
11:0:35.984,39635984,1,-77
11:0:36.203,39636203,1,-77
11:0:36.468,39636468,1,-78
11:0:36.578,39636578,1,-78
11:0:36.750,39636750,1,-77
11:0:36.984,39636984,1,-77
11:0:37.218,39637218,1,-77
11:0:37.343,39637343,1,-77
11:0:37.578,39637578,1,-76
11:0:37.750,39637750,1,-77
11:0:37.984,39637984,1,-77
11:0:38.218,39638218,1,-77
11:0:38.343,39638343,1,-77
11:0:38.578,39638578,1,-77
11:0:38.859,39638859,1,-77
11:0:38.984,39638984,1,-76
11:0:39.203,39639203,1,-77
11:0:39.468,39639468,1,-77
11:0:39.578,39639578,1,-77
11:0:39.750,39639750,1,-77
11:0:39.984,39639984,1,-77
11:0:40.218,39640218,1,-77
11:0:40.343,39640343,1,-77
11:0:40.578,39640578,1,-77
11:0:40.750,39640750,1,-78
11:0:40.984,39640984,1,-77
11:0:41.203,39641203,1,-77
11:0:41.468,39641468,1,-77
11:0:41.578,39641578,1,-77
11:0:41.750,39641750,1,-77
11:0:41.984,39641984,1,-77
11:0:42.218,39642218,1,-77
11:0:42.343,39642343,1,-77
11:0:42.578,39642578,1,-77
11:0:42.750,39642750,1,-76
11:0:42.984,39642984,1,-77
11:0:43.140,39643140,1,-77
11:0:43.468,39643468,1,-77
11:0:43.578,39643578,1,-77
11:0:43.859,39643859,1,-76
11:0:43.984,39643984,1,-76
11:0:44.203,39644203,1,-77
11:0:44.343,39644343,1,-76
11:0:44.578,39644578,1,-76
11:0:44.750,39644750,1,-76
11:0:44.984,39644984,1,-76
11:0:45.218,39645218,1,-76
11:0:45.468,39645468,1,-76
11:0:45.578,39645578,1,-76
11:0:45.750,39645750,1,-76
11:0:45.984,39645984,1,-77
11:0:46.218,39646218,1,-77
11:0:46.343,39646343,1,-77
11:0:46.578,39646578,1,-76
11:0:46.750,39646750,1,-76
11:0:46.984,39646984,1,-77
11:0:47.218,39647218,1,-76
11:0:47.468,39647468,1,-76
11:0:47.546,39647546,1,-76
11:0:47.750,39647750,1,-76
11:0:47.984,39647984,1,-76
11:0:48.218,39648218,1,-77
11:0:48.343,39648343,1,-77
11:0:48.578,39648578,1,-77
11:0:48.750,39648750,1,-77
11:0:48.984,39648984,1,-77
11:0:49.218,39649218,1,-77
11:0:49.468,39649468,1,-77
11:0:49.578,39649578,1,-77
11:0:49.750,39649750,1,-77
11:0:49.984,39649984,1,-77
11:0:50.203,39650203,1,-77
11:0:50.343,39650343,1,-78
11:0:50.578,39650578,1,-80
11:0:50.750,39650750,1,-78
11:0:50.984,39650984,1,-78
11:0:51.218,39651218,1,-77
11:0:51.468,39651468,1,-77
11:0:51.578,39651578,1,-78
11:0:51.750,39651750,1,-78
11:0:51.984,39651984,1,-78
11:0:52.203,39652203,1,-78
11:0:52.343,39652343,1,-78
11:0:52.578,39652578,1,-78
11:0:52.750,39652750,1,-78
11:0:52.984,39652984,1,-78
11:0:53.218,39653218,1,-78
11:0:53.468,39653468,1,-78
11:0:53.578,39653578,1,-78
11:0:53.859,39653859,1,-77
11:0:53.984,39653984,1,-78
11:0:54.218,39654218,1,-78
11:0:54.343,39654343,1,-78
11:0:54.578,39654578,1,-78
11:0:54.750,39654750,1,-78
11:0:54.984,39654984,1,-78
11:0:55.218,39655218,1,-78
11:0:55.468,39655468,1,-77
11:0:55.578,39655578,1,-78
11:0:55.750,39655750,1,-77
11:0:55.984,39655984,1,-78
11:0:56.218,39656218,1,-78
11:0:56.343,39656343,1,-78
11:0:56.578,39656578,1,-78
11:0:56.750,39656750,1,-77
11:0:56.984,39656984,1,-77
11:0:57.218,39657218,1,-77
11:0:57.468,39657468,1,-78
11:0:57.578,39657578,1,-78
11:0:57.750,39657750,1,-78
11:0:57.984,39657984,1,-78
11:0:58.218,39658218,1,-78
11:0:58.343,39658343,1,-77
11:0:58.578,39658578,1,-77
11:0:58.734,39658734,1,-77
11:0:58.984,39658984,1,-77
11:0:59.218,39659218,1,-77
11:0:59.468,39659468,1,-77
11:0:59.578,39659578,1,-77
11:0:59.750,39659750,1,-77
11:0:59.984,39659984,1,-77
11:1:0.218,39660218,1,-77
11:1:0.343,39660343,1,-77
11:1:0.578,39660578,1,-77
11:1:0.750,39660750,1,-77
11:1:0.984,39660984,1,-77
11:1:1.218,39661218,1,-77
11:1:1.578,39661578,1,-77
11:1:1.750,39661750,1,-76
11:1:1.984,39661984,1,-77
11:1:2.218,39662218,1,-77
11:1:2.343,39662343,1,-77
11:1:2.578,39662578,1,-77
11:1:2.750,39662750,1,-76
11:1:2.984,39662984,1,-77
11:1:3.218,39663218,1,-76
11:1:3.343,39663343,1,-77
11:1:3.578,39663578,1,-77
11:1:3.828,39663828,1,-77
11:1:3.937,39663937,1,-76
11:1:4.218,39664218,1,-76
11:1:4.468,39664468,1,-76
11:1:4.578,39664578,1,-76
11:1:4.750,39664750,1,-77
11:1:4.984,39664984,1,-77
11:1:5.218,39665218,1,-77
11:1:5.468,39665468,1,-77
11:1:5.578,39665578,1,-77
11:1:5.750,39665750,1,-77
11:1:5.984,39665984,1,-77
11:1:6.218,39666218,1,-77
11:1:6.468,39666468,1,-77
11:1:6.578,39666578,1,-77
11:1:6.750,39666750,1,-77
11:1:6.984,39666984,1,-77
11:1:7.218,39667218,1,-77
11:1:7.468,39667468,1,-77
11:1:7.578,39667578,1,-78
11:1:7.750,39667750,1,-78
11:1:7.984,39667984,1,-78
11:1:8.218,39668218,1,-77
11:1:8.343,39668343,1,-77
11:1:8.578,39668578,1,-77
11:1:8.750,39668750,1,-77
11:1:8.984,39668984,1,-77
11:1:9.218,39669218,1,-77
11:1:9.468,39669468,1,-77
11:1:9.578,39669578,1,-77
11:1:9.750,39669750,1,-77
11:1:9.984,39669984,1,-77
11:1:10.218,39670218,1,-76
11:1:10.359,39670359,1,-76
11:1:10.578,39670578,1,-76
11:1:10.750,39670750,1,-77
11:1:10.984,39670984,1,-77
11:1:11.218,39671218,1,-76
11:1:11.468,39671468,1,-76
11:1:11.578,39671578,1,-76
11:1:11.750,39671750,1,-76
11:1:11.984,39671984,1,-76
11:1:12.218,39672218,1,-76
11:1:12.343,39672343,1,-76
11:1:12.578,39672578,1,-76
11:1:12.750,39672750,1,-76
11:1:12.984,39672984,1,-76
11:1:13.218,39673218,1,-77
11:1:13.468,39673468,1,-77
11:1:13.578,39673578,1,-77
11:1:13.750,39673750,1,-76
11:1:13.984,39673984,1,-76
11:1:14.218,39674218,1,-77
11:1:14.343,39674343,1,-76
11:1:14.578,39674578,1,-76
11:1:14.750,39674750,1,-76
11:1:14.984,39674984,1,-76
11:1:15.218,39675218,1,-76
11:1:15.468,39675468,1,-75
11:1:15.578,39675578,1,-76
11:1:15.750,39675750,1,-76
11:1:15.984,39675984,1,-76
11:1:16.218,39676218,1,-75
11:1:16.468,39676468,1,-77
11:1:16.578,39676578,1,-78
11:1:16.750,39676750,1,-77
11:1:16.984,39676984,1,-75
11:1:17.218,39677218,1,-76
11:1:17.468,39677468,1,-77
11:1:17.578,39677578,1,-75
11:1:17.750,39677750,1,-77
11:1:17.984,39677984,1,-76
11:1:18.218,39678218,1,-75
11:1:18.343,39678343,1,-76
11:1:18.578,39678578,1,-78
11:1:18.750,39678750,1,-77
11:1:18.984,39678984,1,-77
11:1:19.218,39679218,1,-77
11:1:19.468,39679468,1,-77
11:1:19.578,39679578,1,-76
11:1:19.750,39679750,1,-76
11:1:19.984,39679984,1,-77
11:1:20.218,39680218,1,-76
11:1:20.343,39680343,1,-78
11:1:20.578,39680578,1,-77
11:1:20.750,39680750,1,-77
11:1:20.984,39680984,1,-77
11:1:21.218,39681218,1,-77
11:1:21.468,39681468,1,-77
11:1:21.578,39681578,1,-77
11:1:21.750,39681750,1,-77
11:1:21.984,39681984,1,-77
11:1:22.218,39682218,1,-77
11:1:22.468,39682468,1,-78
11:1:22.578,39682578,1,-78
11:1:22.750,39682750,1,-77
11:1:22.984,39682984,1,-78
11:1:23.218,39683218,1,-78
11:1:23.468,39683468,1,-78
11:1:23.578,39683578,1,-78
11:1:23.750,39683750,1,-78
11:1:23.984,39683984,1,-78
11:1:24.218,39684218,1,-78
11:1:24.343,39684343,1,-78
11:1:24.578,39684578,1,-78
11:1:24.750,39684750,1,-78
11:1:24.984,39684984,1,-78
11:1:25.218,39685218,1,-78
11:1:25.343,39685343,1,-77
11:1:25.578,39685578,1,-77
11:1:25.750,39685750,1,-78
11:1:25.984,39685984,1,-78
11:1:26.218,39686218,1,-77
11:1:26.468,39686468,1,-78
11:1:26.578,39686578,1,-78
11:1:26.750,39686750,1,-78
11:1:26.984,39686984,1,-78
11:1:27.125,39687125,1,-78
11:1:27.468,39687468,1,-78
11:1:27.578,39687578,1,-78
11:1:27.750,39687750,1,-78
11:1:27.984,39687984,1,-78
11:1:28.218,39688218,1,-78
11:1:28.343,39688343,1,-77
11:1:28.578,39688578,1,-78
11:1:28.750,39688750,1,-78
11:1:28.984,39688984,1,-78
11:1:29.218,39689218,1,-78
11:1:29.468,39689468,1,-78
11:1:29.578,39689578,1,-77
11:1:29.750,39689750,1,-78
11:1:29.984,39689984,1,-78
11:1:30.218,39690218,1,-78
11:1:30.343,39690343,1,-79
11:1:30.578,39690578,1,-78
11:1:30.750,39690750,1,-77
11:1:30.984,39690984,1,-75
11:1:31.218,39691218,1,-74
11:1:31.468,39691468,1,-74
11:1:31.578,39691578,1,-75
11:1:31.859,39691859,1,-76
11:1:31.984,39691984,1,-76
11:1:32.218,39692218,1,-76
11:1:32.343,39692343,1,-77
11:1:32.578,39692578,1,-77
11:1:32.750,39692750,1,-76
11:1:32.984,39692984,1,-74
11:1:33.218,39693218,1,-75
11:1:33.468,39693468,1,-76
11:1:33.578,39693578,1,-76
11:1:33.750,39693750,1,-76
11:1:33.984,39693984,1,-76
11:1:34.218,39694218,1,-76
11:1:34.343,39694343,1,-76
11:1:34.578,39694578,1,-76
11:1:34.750,39694750,1,-76
11:1:34.984,39694984,1,-76
11:1:35.218,39695218,1,-77
11:1:35.343,39695343,1,-76
11:1:35.578,39695578,1,-75
11:1:35.750,39695750,1,-76
11:1:35.984,39695984,1,-77
11:1:36.218,39696218,1,-77
11:1:36.468,39696468,1,-76
11:1:36.578,39696578,1,-77
11:1:36.750,39696750,1,-78
11:1:36.984,39696984,1,-78
11:1:37.218,39697218,1,-78
11:1:37.468,39697468,1,-78
11:1:37.578,39697578,1,-77
11:1:37.750,39697750,1,-78
11:1:38.109,39698109,1,-77
11:1:38.218,39698218,1,-76
11:1:38.343,39698343,1,-74
11:1:38.578,39698578,1,-76
11:1:38.750,39698750,1,-74
11:1:38.984,39698984,1,-76
11:1:39.218,39699218,1,-76
11:1:39.468,39699468,1,-75
11:1:39.625,39699625,1,-76
11:1:39.750,39699750,1,-75
11:1:39.984,39699984,1,-76
11:1:40.218,39700218,1,-75
11:1:40.343,39700343,1,-75
11:1:40.578,39700578,1,-76
11:1:40.750,39700750,1,-75
11:1:41.125,39701125,1,-75
11:1:41.218,39701218,1,-76
11:1:41.468,39701468,1,-75
11:1:41.578,39701578,1,-75
11:1:41.750,39701750,1,-75
11:1:41.937,39701937,1,-74
11:1:42.218,39702218,1,-74
11:1:42.343,39702343,1,-75
11:1:42.625,39702625,1,-75
11:1:42.750,39702750,1,-74
11:1:42.984,39702984,1,-75
11:1:43.218,39703218,1,-74
11:1:43.468,39703468,1,-74
11:1:43.578,39703578,1,-74
11:1:43.750,39703750,1,-74
11:1:43.984,39703984,1,-74
11:1:44.218,39704218,1,-74
11:1:44.343,39704343,1,-74
11:1:44.578,39704578,1,-75
11:1:44.750,39704750,1,-74
11:1:44.984,39704984,1,-75
11:1:45.218,39705218,1,-75
11:1:45.468,39705468,1,-75
11:1:45.578,39705578,1,-75
11:1:45.750,39705750,1,-75
11:1:45.984,39705984,1,-75
11:1:46.218,39706218,1,-74
11:1:46.468,39706468,1,-75
11:1:46.578,39706578,1,-75
11:1:46.750,39706750,1,-75
11:1:46.984,39706984,1,-75
11:1:47.218,39707218,1,-75
11:1:47.468,39707468,1,-75
11:1:47.578,39707578,1,-75
11:1:47.750,39707750,1,-74
11:1:47.984,39707984,1,-74
11:1:48.218,39708218,1,-74
11:1:48.343,39708343,1,-74
11:1:48.578,39708578,1,-74
11:1:48.750,39708750,1,-75
11:1:48.984,39708984,1,-77
11:1:49.218,39709218,1,-80
11:1:49.343,39709343,1,-78
11:1:49.578,39709578,1,-74
11:1:49.750,39709750,1,-74
11:1:49.984,39709984,1,-74
11:1:50.218,39710218,1,-74
11:1:50.343,39710343,1,-74
11:1:50.578,39710578,1,-74
11:1:50.750,39710750,1,-74
11:1:50.984,39710984,1,-75
11:1:51.140,39711140,1,-74
11:1:51.468,39711468,1,-74
11:1:51.578,39711578,1,-75
11:1:51.750,39711750,1,-74
11:1:51.984,39711984,1,-76
11:1:52.218,39712218,1,-75
11:1:52.343,39712343,1,-75
11:1:52.578,39712578,1,-74
11:1:52.750,39712750,1,-74
11:1:52.984,39712984,1,-76
11:1:53.218,39713218,1,-75
11:1:53.468,39713468,1,-77
11:1:53.578,39713578,1,-75
11:1:53.750,39713750,1,-74
11:1:53.984,39713984,1,-75
11:1:54.343,39714343,1,-74
11:1:54.578,39714578,1,-74
11:1:54.750,39714750,1,-74
11:1:54.984,39714984,1,-74
11:1:55.218,39715218,1,-74
11:1:55.468,39715468,1,-74
11:1:55.578,39715578,1,-73
11:1:55.750,39715750,1,-73
11:1:55.984,39715984,1,-72
11:1:56.218,39716218,1,-72
11:1:56.468,39716468,1,-72
11:1:56.578,39716578,1,-72
11:1:56.750,39716750,1,-72
11:1:56.984,39716984,1,-73
11:1:57.218,39717218,1,-73
11:1:57.468,39717468,1,-73
11:1:57.546,39717546,1,-73
11:1:57.750,39717750,1,-73
11:1:57.984,39717984,1,-72
11:1:58.218,39718218,1,-72
11:1:58.343,39718343,1,-72
11:1:58.578,39718578,1,-72
11:1:58.750,39718750,1,-73
11:1:58.984,39718984,1,-73
11:1:59.218,39719218,1,-73
11:1:59.468,39719468,1,-73
11:1:59.578,39719578,1,-73
11:1:59.750,39719750,1,-73
11:1:59.984,39719984,1,-73
11:2:0.218,39720218,1,-73
11:2:0.343,39720343,1,-73
11:2:0.578,39720578,1,-73
11:2:0.750,39720750,1,-73
11:2:0.984,39720984,1,-73
11:2:1.218,39721218,1,-74
11:2:1.468,39721468,1,-74
11:2:1.578,39721578,1,-73
11:2:1.750,39721750,1,-73
11:2:1.984,39721984,1,-73
11:2:2.218,39722218,1,-73
11:2:2.343,39722343,1,-72
11:2:2.578,39722578,1,-73
11:2:2.750,39722750,1,-73
11:2:2.984,39722984,1,-74
11:2:3.218,39723218,1,-74
11:2:3.468,39723468,1,-73
11:2:3.578,39723578,1,-73
11:2:3.750,39723750,1,-74
11:2:3.984,39723984,1,-74
11:2:4.218,39724218,1,-74
11:2:4.343,39724343,1,-74
11:2:4.578,39724578,1,-74
11:2:4.750,39724750,1,-74
11:2:5.109,39725109,1,-74
11:2:5.218,39725218,1,-74
11:2:5.468,39725468,1,-74
11:2:5.578,39725578,1,-74
11:2:5.750,39725750,1,-74
11:2:5.984,39725984,1,-74
11:2:6.218,39726218,1,-75
11:2:6.343,39726343,1,-74
11:2:6.578,39726578,1,-73
11:2:6.750,39726750,1,-74
11:2:6.984,39726984,1,-74
11:2:7.218,39727218,1,-74
11:2:7.343,39727343,1,-74
11:2:7.578,39727578,1,-74
11:2:7.750,39727750,1,-74
11:2:7.984,39727984,1,-74
11:2:8.218,39728218,1,-74
11:2:8.343,39728343,1,-74
11:2:8.578,39728578,1,-74
11:2:8.750,39728750,1,-74
11:2:8.984,39728984,1,-74
11:2:9.218,39729218,1,-75
11:2:9.468,39729468,1,-75
11:2:9.578,39729578,1,-75
11:2:9.750,39729750,1,-75
11:2:9.984,39729984,1,-75
11:2:10.218,39730218,1,-75
11:2:10.343,39730343,1,-75
11:2:10.578,39730578,1,-75
11:2:10.750,39730750,1,-75
11:2:10.984,39730984,1,-75
11:2:11.218,39731218,1,-75
11:2:11.468,39731468,1,-75
11:2:11.578,39731578,1,-75
11:2:11.750,39731750,1,-75
11:2:11.984,39731984,1,-75
11:2:12.218,39732218,1,-75
11:2:12.343,39732343,1,-75
11:2:12.578,39732578,1,-74
11:2:12.750,39732750,1,-74
11:2:12.984,39732984,1,-74
11:2:13.218,39733218,1,-74
11:2:13.468,39733468,1,-74
11:2:13.578,39733578,1,-74
11:2:13.750,39733750,1,-74
11:2:13.984,39733984,1,-74
11:2:14.218,39734218,1,-74
11:2:14.343,39734343,1,-74
11:2:14.578,39734578,1,-74
11:2:14.750,39734750,1,-74
11:2:14.984,39734984,1,-74
11:2:15.218,39735218,1,-74
11:2:15.578,39735578,1,-74
11:2:15.750,39735750,1,-74
11:2:15.984,39735984,1,-74
11:2:16.218,39736218,1,-74
11:2:16.468,39736468,1,-74
11:2:16.578,39736578,1,-74
11:2:16.828,39736828,1,-73
11:2:16.937,39736937,1,-74
11:2:17.218,39737218,1,-75
11:2:17.468,39737468,1,-75
11:2:17.578,39737578,1,-76
11:2:17.750,39737750,1,-76
11:2:17.984,39737984,1,-76
11:2:18.218,39738218,1,-75
11:2:18.343,39738343,1,-75
11:2:18.578,39738578,1,-75
11:2:18.750,39738750,1,-75
11:2:18.984,39738984,1,-75
11:2:19.218,39739218,1,-74
11:2:19.468,39739468,1,-74
11:2:19.578,39739578,1,-75
11:2:19.750,39739750,1,-75
11:2:19.984,39739984,1,-75
11:2:20.218,39740218,1,-75
11:2:20.343,39740343,1,-74
11:2:20.578,39740578,1,-75
11:2:20.828,39740828,1,-75
11:2:20.984,39740984,1,-75
11:2:21.218,39741218,1,-74
11:2:21.468,39741468,1,-76
11:2:21.578,39741578,1,-76
11:2:21.750,39741750,1,-76
11:2:21.984,39741984,1,-77
11:2:22.218,39742218,1,-76
11:2:22.343,39742343,1,-76
11:2:22.578,39742578,1,-76
11:2:22.750,39742750,1,-76
11:2:22.984,39742984,1,-76
11:2:23.218,39743218,1,-76
11:2:23.468,39743468,1,-76
11:2:23.578,39743578,1,-76
11:2:23.750,39743750,1,-77
11:2:23.984,39743984,1,-76
11:2:24.218,39744218,1,-77
11:2:24.343,39744343,1,-76
11:2:24.578,39744578,1,-75
11:2:24.750,39744750,1,-76
11:2:24.984,39744984,1,-76
11:2:25.218,39745218,1,-77
11:2:25.468,39745468,1,-76
11:2:25.578,39745578,1,-76
11:2:25.750,39745750,1,-77
11:2:25.984,39745984,1,-77
11:2:26.218,39746218,1,-77
11:2:26.468,39746468,1,-77
11:2:26.578,39746578,1,-77
11:2:26.750,39746750,1,-77
11:2:26.984,39746984,1,-79
11:2:27.218,39747218,1,-77
11:2:27.468,39747468,1,-77
11:2:27.578,39747578,1,-76
11:2:27.750,39747750,1,-76
11:2:28.109,39748109,1,-75
11:2:28.218,39748218,1,-75
11:2:28.421,39748421,1,-76
11:2:28.578,39748578,1,-76
11:2:28.750,39748750,1,-76
11:2:28.984,39748984,1,-76
11:2:29.218,39749218,1,-75
11:2:29.468,39749468,1,-75
11:2:29.578,39749578,1,-75
11:2:29.750,39749750,1,-75
11:2:29.984,39749984,1,-76
11:2:30.218,39750218,1,-76
11:2:30.343,39750343,1,-76
11:2:30.578,39750578,1,-76
11:2:30.750,39750750,1,-76
11:2:30.984,39750984,1,-77
11:2:31.218,39751218,1,-76
11:2:31.421,39751421,1,-75
11:2:31.578,39751578,1,-76
11:2:31.750,39751750,1,-75
11:2:31.984,39751984,1,-75
11:2:32.218,39752218,1,-75
11:2:32.343,39752343,1,-75
11:2:32.578,39752578,1,-75
11:2:32.750,39752750,1,-75
11:2:32.984,39752984,1,-75
11:2:33.218,39753218,1,-75
11:2:33.468,39753468,1,-75
11:2:33.578,39753578,1,-75
11:2:33.750,39753750,1,-75
11:2:33.984,39753984,1,-75
11:2:34.343,39754343,1,-74
11:2:34.578,39754578,1,-74
11:2:34.750,39754750,1,-74
11:2:34.984,39754984,1,-73
11:2:35.218,39755218,1,-73
11:2:35.343,39755343,1,-74
11:2:35.578,39755578,1,-73
11:2:35.750,39755750,1,-73
11:2:35.984,39755984,1,-73
11:2:36.218,39756218,1,-74
11:2:36.468,39756468,1,-74
11:2:36.578,39756578,1,-74
11:2:36.750,39756750,1,-73
11:2:36.984,39756984,1,-74
11:2:37.218,39757218,1,-73
11:2:37.468,39757468,1,-73
11:2:37.578,39757578,1,-74
11:2:37.750,39757750,1,-73
11:2:37.984,39757984,1,-74
11:2:38.218,39758218,1,-74
11:2:38.343,39758343,1,-74
11:2:38.578,39758578,1,-74
11:2:38.750,39758750,1,-74
11:2:38.984,39758984,1,-74
11:2:39.218,39759218,1,-74
11:2:39.468,39759468,1,-74
11:2:39.578,39759578,1,-73
11:2:39.750,39759750,1,-73
11:2:39.984,39759984,1,-74
11:2:40.218,39760218,1,-75
11:2:40.343,39760343,1,-74
11:2:40.578,39760578,1,-75
11:2:40.750,39760750,1,-75
11:2:40.984,39760984,1,-74
11:2:41.218,39761218,1,-74
11:2:41.468,39761468,1,-74
11:2:41.578,39761578,1,-75
11:2:41.750,39761750,1,-75
11:2:42.109,39762109,1,-74
11:2:42.218,39762218,1,-74
11:2:42.343,39762343,1,-74
11:2:42.578,39762578,1,-74
11:2:42.750,39762750,1,-73
11:2:42.984,39762984,1,-73
11:2:43.140,39763140,1,-73
11:2:43.468,39763468,1,-73
11:2:43.578,39763578,1,-73
11:2:43.750,39763750,1,-73
11:2:43.984,39763984,1,-74
11:2:44.218,39764218,1,-74
11:2:44.468,39764468,1,-73
11:2:44.578,39764578,1,-74
11:2:44.750,39764750,1,-74
11:2:44.984,39764984,1,-74
11:2:45.218,39765218,1,-75
11:2:45.468,39765468,1,-75
11:2:45.578,39765578,1,-75
11:2:45.750,39765750,1,-74
11:2:45.984,39765984,1,-74
11:2:46.218,39766218,1,-74
11:2:46.343,39766343,1,-74
11:2:46.578,39766578,1,-74
11:2:46.750,39766750,1,-73
11:2:46.984,39766984,1,-73
11:2:47.218,39767218,1,-73
11:2:47.468,39767468,1,-73
11:2:47.578,39767578,1,-73
11:2:47.750,39767750,1,-73
11:2:47.984,39767984,1,-73
11:2:48.218,39768218,1,-73
11:2:48.343,39768343,1,-73
11:2:48.578,39768578,1,-73
11:2:48.750,39768750,1,-73
11:2:48.984,39768984,1,-73
11:2:49.218,39769218,1,-73
11:2:49.468,39769468,1,-74
11:2:49.578,39769578,1,-74
11:2:49.750,39769750,1,-74
11:2:49.984,39769984,1,-74
11:2:50.218,39770218,1,-74
11:2:50.343,39770343,1,-74
11:2:50.578,39770578,1,-74
11:2:50.750,39770750,1,-73
11:2:50.984,39770984,1,-73
11:2:51.218,39771218,1,-73
11:2:51.343,39771343,1,-73
11:2:51.625,39771625,1,-73
11:2:51.750,39771750,1,-73
11:2:51.984,39771984,1,-73
11:2:52.218,39772218,1,-73
11:2:52.343,39772343,1,-73
11:2:52.578,39772578,1,-73
11:2:52.750,39772750,1,-73
11:2:52.984,39772984,1,-73
11:2:53.218,39773218,1,-74
11:2:53.468,39773468,1,-74
11:2:53.625,39773625,1,-74
11:2:53.750,39773750,1,-74
11:2:53.984,39773984,1,-74
11:2:54.218,39774218,1,-74
11:2:54.343,39774343,1,-74
11:2:54.578,39774578,1,-74
11:2:54.750,39774750,1,-75
11:2:54.937,39774937,1,-74
11:2:55.187,39775187,1,-75
11:2:55.468,39775468,1,-74
11:2:55.578,39775578,1,-74
11:2:55.750,39775750,1,-74
11:2:55.984,39775984,1,-75
11:2:56.218,39776218,1,-75
11:2:56.343,39776343,1,-75
11:2:56.578,39776578,1,-75
11:2:56.750,39776750,1,-75
11:2:57.140,39777140,1,-75
11:2:57.468,39777468,1,-74
11:2:57.578,39777578,1,-74
11:2:57.750,39777750,1,-75
11:2:58.109,39778109,1,-75
11:2:58.218,39778218,1,-75
11:2:58.343,39778343,1,-74
11:2:58.578,39778578,1,-74
11:2:58.750,39778750,1,-74
11:2:58.937,39778937,1,-75
11:2:59.218,39779218,1,-74
11:2:59.468,39779468,1,-74
11:2:59.578,39779578,1,-75
11:2:59.750,39779750,1,-75
11:2:59.984,39779984,1,-74
11:3:0.218,39780218,1,-74
11:3:0.343,39780343,1,-73
11:3:0.578,39780578,1,-74
11:3:0.750,39780750,1,-74
11:3:0.984,39780984,1,-74
11:3:1.218,39781218,1,-73
11:3:1.343,39781343,1,-74
11:3:1.578,39781578,1,-74
11:3:1.750,39781750,1,-74
11:3:1.984,39781984,1,-73
11:3:2.218,39782218,1,-73
11:3:2.343,39782343,1,-75
11:3:2.578,39782578,1,-74
11:3:2.750,39782750,1,-74
11:3:2.984,39782984,1,-74
11:3:3.218,39783218,1,-74
11:3:3.468,39783468,1,-74
11:3:3.578,39783578,1,-74
